epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60977,1.27254,4.22091,1.26899,0.01002,0.401,0.01291,0.00811,1.22708,3.67239,1.3,0.000465256,0.000465256,0.000465256
2,8.84408,1.1977,3.99863,1.29042,0.00385,0.34972,0.00942,0.00703,1.29753,3.78051,1.33463,0.000939725,0.000939725,0.000939725
3,11.12,1.17523,4.06368,1.2846,0.00789,0.45442,0.01043,0.00546,1.35127,3.92948,1.3382,0.00141231,0.00141231,0.00141231
4,13.4323,1.31727,4.10625,1.32359,0.00789,0.45442,0.01043,0.00546,1.35127,3.92948,1.3382,0.00142051,0.00142051,0.00142051
5,15.7144,2.57941,44.9608,2.57616,0,0,0,0,nan,nan,nan,0.00141768,0.00141768,0.00141768
6,18.1519,3.84127,71.5748,3.31681,0.34028,0.03704,0.00711,0.00173,3.17078,146.341,2.92808,0.00141485,0.00141485,0.00141485
7,20.713,3.6659,59.1617,3.33952,0.34028,0.03704,0.00711,0.00173,3.17078,146.341,2.92808,0.00141202,0.00141202,0.00141202
8,23.1566,3.60904,67.799,3.30363,0.35556,0.03704,0.01123,0.00371,3.46029,73.7244,3.21061,0.00140919,0.00140919,0.00140919
9,25.6798,3.78119,60.8646,3.39394,0,0,0,0,nan,nan,nan,0.00140636,0.00140636,0.00140636
10,28.1083,3.7581,20.6096,3.25495,0,0,0,0,nan,nan,nan,0.00140354,0.00140354,0.00140354
11,30.6708,4.01191,11.0622,3.23947,0,0,0,0,nan,nan,nan,0.00140071,0.00140071,0.00140071
12,33.1476,3.63096,5.87555,3.28377,0,0,0,0,nan,nan,nan,0.00139788,0.00139788,0.00139788
13,35.6181,3.43331,4.65042,3.3322,0,0,0,0,nan,nan,nan,0.00139505,0.00139505,0.00139505
14,38.1847,3.25472,4.48345,3.10107,0,0,0,0,nan,nan,nan,0.00139222,0.00139222,0.00139222
15,40.6152,3.02605,4.33826,2.96658,0,0,0,0,nan,nan,nan,0.00138939,0.00138939,0.00138939
16,43.1228,3.1131,4.10685,2.88728,0,0,0,0,nan,nan,nan,0.00138656,0.00138656,0.00138656
17,45.5581,2.97762,3.81865,2.83551,0,0,0,0,nan,nan,nan,0.00138373,0.00138373,0.00138373
18,48.1429,3.09406,3.90906,2.96246,0,0,0,0,nan,nan,nan,0.0013809,0.0013809,0.0013809
19,50.6696,2.77666,3.64118,2.76022,0,0,0,0,nan,nan,nan,0.00137807,0.00137807,0.00137807
20,53.1581,2.81333,4.55916,3.01663,0,0,0,0,nan,nan,nan,0.00137524,0.00137524,0.00137524
21,55.7539,2.81929,4.27702,3.0716,0.00058,0.07407,0.00038,0.00013,nan,nan,nan,0.00137241,0.00137241,0.00137241
