epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1141,1.76903,3.71652,1.6376,0.00271,0.33333,0.03149,0.02263,1.44999,4.25409,1.07157,1.429e-05,1.429e-05,1.429e-05
2,17.7365,1.63832,3.59083,1.6108,0.00281,0.33333,0.06889,0.05336,1.28433,4.07498,0.94538,4.20212e-05,4.20212e-05,4.20212e-05
3,25.2109,1.41492,3.43137,1.41722,0.00339,0.33333,0.27611,0.25404,1.16145,3.95475,0.89117,6.86206e-05,6.86206e-05,6.86206e-05
4,33.0831,1.29065,3.31519,1.35256,0.00511,0.33333,0.26533,0.2388,1.16871,3.93603,0.88189,9.40882e-05,9.40882e-05,9.40882e-05
5,42.3383,1.1284,2.97831,1.17983,0.00926,0.33333,0.28167,0.23205,1.22663,3.93482,0.89095,0.000118424,0.000118424,0.000118424
6,50.7198,1.14885,2.82737,1.27314,0.0155,0.33333,0.28167,0.20574,1.27027,3.92279,0.9214,0.000141628,0.000141628,0.000141628
7,58.518,1.17508,2.3196,1.17992,0.03333,0.33333,0.28167,0.20192,1.30966,3.89823,0.93786,0.000163701,0.000163701,0.000163701
8,66.097,1.2595,2.04489,1.26211,0.03333,0.33333,0.28167,0.21459,1.30896,3.87769,0.92156,0.000184641,0.000184641,0.000184641
9,73.4595,1.02284,1.87811,1.16148,0.06667,0.33333,0.28167,0.21502,1.31962,3.86793,0.90828,0.00020445,0.00020445,0.00020445
10,81.0438,1.2073,1.86328,1.14159,0.09524,0.33333,0.28306,0.22297,1.31403,3.802,0.89518,0.000223127,0.000223127,0.000223127
11,89.4454,1.25549,1.77946,1.18445,0.10256,0.33333,0.28306,0.22978,1.30375,3.75001,0.89416,0.000240672,0.000240672,0.000240672
12,97.0095,1.13122,1.85946,1.18857,0.08889,0.33333,0.27512,0.21969,1.30352,3.70192,0.8967,0.000257086,0.000257086,0.000257086
13,104.756,1.13616,1.85705,1.11954,0.09524,0.33333,0.28306,0.22796,1.33469,3.69442,0.90586,0.000272367,0.000272367,0.000272367
14,112.45,1.07706,1.52715,1.10125,0.10256,0.33333,0.29833,0.21439,1.32227,3.68176,0.90655,0.000286517,0.000286517,0.000286517
15,120.658,1.01059,1.74545,1.19723,0.10256,0.33333,0.29833,0.24372,1.29159,3.67183,0.90046,0.000299536,0.000299536,0.000299536
16,129.178,1.20697,1.78642,1.10755,0.06667,0.33333,0.28167,0.22869,1.26752,3.66324,0.89798,0.000311422,0.000311422,0.000311422
17,137.473,1.10794,1.53388,1.08892,0.06667,0.33333,0.28167,0.23443,1.30883,3.63741,0.89493,0.000322177,0.000322177,0.000322177
18,145.318,1.14409,1.6644,1.14199,0.91131,0.23393,0.28167,0.24067,1.32541,3.57892,0.89,0.0003318,0.0003318,0.0003318
19,152.942,1.08548,1.53024,1.1087,0.91298,0.23895,0.26533,0.22733,1.32862,3.52134,0.88091,0.000340291,0.000340291,0.000340291
20,160.466,1.13914,1.64016,1.06335,0.92345,0.33333,0.26533,0.2388,1.32064,3.47356,0.86975,0.00034765,0.00034765,0.00034765
21,168.425,1.12068,1.45595,1.11072,0.91519,0.33333,0.26533,0.2388,1.32871,3.41882,0.86938,0.000353878,0.000353878,0.000353878
22,176.233,1.21192,1.45551,1.09945,0.91792,0.33333,0.26608,0.2393,1.36142,3.35063,0.87851,0.000358973,0.000358973,0.000358973
23,184.43,1.12707,1.44101,1.03774,0.91762,0.33333,0.28415,0.2427,1.45662,3.28512,0.89859,0.000362937,0.000362937,0.000362937
24,193.064,1.16507,1.55594,1.15012,0.91836,0.33333,0.27526,0.22863,1.51706,3.29638,0.91701,0.00036577,0.00036577,0.00036577
25,200.724,1.01165,1.43836,1.10566,0.93275,0.33333,0.29889,0.23529,1.53446,3.33103,0.94475,0.00036747,0.00036747,0.00036747
26,208.431,1.04748,1.41587,1.11234,0.91636,0.24909,0.29833,0.23496,1.50753,3.34611,0.94756,0.000368039,0.000368039,0.000368039
27,216.254,0.97885,1.35398,1.07515,0.92305,0.33333,0.29833,0.25021,1.40329,3.29218,0.92623,0.000367476,0.000367476,0.000367476
28,223.999,1.04079,1.34201,1.05756,0.92305,0.33333,0.29833,0.25021,1.40329,3.29218,0.92623,0.000365781,0.000365781,0.000365781
